OBJECTID,HS_STOPS_I,STOP_ID,LONGITUDE,LATTITUDE,STOP_NAME,ONSTREET,ON_SUFFIX,ATSTREET,AT_SUFFIX,STOP_DIREC,TAXI_STAND,REST_ROOM,SHELTER,PARKING,PLATFORM,BENCH,ELEVATOR,ESCALATOR,CENTROIDX,CENTROIDY,LINE_NAME,SEQUENCE,WEEKDAY_BO,SATURDAY_B,SUNDAY_BOA,X,Y,LABEL
12,18.00000000,20009.00000000,-75.16740000,39.93600000,Ellsworth-Federal,Broad,ST,Ellsworth-Federal,ST,S,N,N,Y,Y,Y,Y,N,N,485733.63,4420673.33,BROAD STREET LINE,180,2437,1405,1006,2692694.28055743,230205.16673780,Ellsworth-Federal
13,19.00000000,20007.00000000,-75.16870000,39.92960000,Tasker-Morris,Broad,ST,Tasker-Morris,ST,S,N,N,Y,Y,Y,Y,N,N,485616.58,4419957.02,BROAD STREET LINE,190,3390,1943,1442,2692377.53494110,227883.22656241,Tasker-Morris
14,20.00000000,20005.00000000,-75.16990000,39.92420000,Snyder,Broad,ST,Snyder,AV,S,N,N,Y,Y,Y,Y,N,Y,485510.93,4419356.11,BROAD STREET LINE,200,3812,2275,1666,2692104.76089971,225884.54359897,Snyder
15,22.00000000,20001.00000000,-75.17390000,39.90530000,Pattison,Broad,ST,Pattison,AV,S,N,N,Y,Y,Y,Y,N,Y,485165.37,4417264.44,BROAD STREET LINE,220,2432,2871,3471,2691113.16911700,218949.00769384,Pattison
16,23.00000000,20002.00000000,-75.17160000,39.91660000,Oregon,Broad,ST,Oregon,AV,N,N,N,Y,N,Y,Y,N,Y,485368.92,4418518.98,BROAD STREET LINE,210,2509,1030,685,2691720.44352540,223114.23475394,Oregon
17,27.00000000,20010.00000000,-75.16570000,39.94390000,Lombard-South,Broad,ST,Lombard-South,ST,N,N,N,Y,Y,Y,Y,N,N,485873.5,4421549.44,BROAD STREET LINE,170,2293,1483,1058,2693094.40700565,233093.15361902,Lombard-South
18,29.00000000,20014.00000000,-75.16460000,39.95210000,City Hall,Broad,ST,City Hall,,N,N,N,Y,Y,Y,Y,N,N,485970.09,4422459.25,BROAD STREET LINE,150,2685,1386,988,2693359.18108671,236136.64700603,City Hall
19,30.00000000,20016.00000000,-75.16290000,39.95690000,Race-Vine,Broad,ST,Race-Vine,ST,N,N,N,Y,Y,Y,Y,N,N,486117.06,4422992.51,BROAD STREET LINE,140,2066,608,550,2693744.37587603,237826.27943878,Race-Vine
20,31.00000000,20018.00000000,-75.16180000,39.96230000,Spring Garden - BSL,Broad,ST,Spring Garden,ST,N,N,N,Y,Y,Y,Y,N,N,486215.75,4423582.9,BROAD STREET LINE,130,4876,942,558,2694024.09241863,239822.08529720,Spring Garden
21,42.00000000,20040.00000000,-75.14500000,40.03890000,Olney,Broad,ST,Olney,AV,N,N,N,Y,Y,Y,Y,Y,Y,487658.92,4432083.3,BROAD STREET LINE,20,16542,8083,5107,2697861.81202529,267850.60349181,Olney
22,43.00000000,20042.00000000,-75.13540000,40.04110000,Fern Rock TC,Fern Rock,,Trans. Center,,N,N,N,Y,Y,Y,Y,Y,N,488482.58,4432332.51,BROAD STREET LINE,10,4701,1762,1572,2700432.07264988,268865.46057552,Fern Rock TC
23,45.00000000,20049.00000000,-75.26020000,39.96190000,69th St. Terminal,Market,ST,69th,ST,SE,N,Y,Y,Y,Y,Y,Y,Y,477808.45,4423566.72,MARKET-FRANKFORD LINE,10,12942,7676,4607,2666466.26236290,239082.78693725,69th St. Terminal
24,47.00000000,20053.00000000,-75.24710000,39.96260000,63rd,Market,ST,63rd,ST,SE,N,N,N,Y,Y,N,N,Y,478927.01,4423637.67,MARKET-FRANKFORD LINE,20,1529,1011,687,2670103.19676853,239222.48316885,63rd
25,49.00000000,20057.00000000,-75.23320000,39.96090000,56th,Market,ST,56th,ST,SE,N,N,N,Y,Y,N,Y,Y,480118.4,4423441.12,MARKET-FRANKFORD LINE,40,4004,2584,1731,2674012.84039967,238697.42770764,56th
26,52.00000000,20063.00000000,-75.20230000,39.95700000,40th,Market,ST,40th,ST,SE,N,N,N,Y,Y,N,N,Y,482754.49,4423004.94,MARKET-FRANKFORD LINE,70,4921,3078,1946,2682712.36575822,237552.43833591,40th
27,53.00000000,20065.00000000,-75.19180000,39.95570000,34th,Market,ST,34th,ST,SE,N,N,N,Y,Y,N,N,Y,483651.06,4422862.12,MARKET-FRANKFORD LINE,80,4893,1584,957,2685665.51660742,237161.78460891,34th
28,54.00000000,20067.00000000,-75.18380000,39.95470000,30th,Market,ST,30th,ST,SE,N,Y,Y,Y,Y,N,N,Y,484337.24,4422750.01,MARKET-FRANKFORD LINE,90,5534,2590,2293,2687940.86376551,236862.91497297,30th
29,55.00000000,20069.00000000,-75.16570000,39.95250000,15th,Market,ST,15th,ST,SE,N,N,N,Y,Y,N,N,Y,485883.03,4422495.48,MARKET-FRANKFORD LINE,100,23739,7069,4909,2693037.43144418,236184.33109068,15th
30,57.00000000,20073.00000000,-75.15870000,39.95160000,11th,Market,ST,11th,ST,SE,N,N,N,Y,Y,Y,N,Y,486477.38,4422394.07,MARKET-FRANKFORD LINE,120,8946,6205,3806,2694992.19804622,235906.35377426,11th
31,59.00000000,20077.00000000,-75.14930000,39.95040000,5th,Market,ST,5th,ST,SE,N,N,N,Y,Y,N,N,Y,487282.95,4422260.05,MARKET-FRANKFORD LINE,140,3467,900,576,2697655.94117806,235558.29848572,5th
32,60.00000000,20079.00000000,-75.14420000,39.94970000,2nd,Market,ST,2nd,ST,SE,N,N,N,Y,Y,Y,Y,Y,487715.77,4422189.53,MARKET-FRANKFORD LINE,150,2848,1762,1227,2699098.69711543,235378.22075892,2nd
33,61.00000000,20081.00000000,-75.13930000,39.96020000,Spring Garden - MFL,Front,ST,Spring Garden,,N,N,N,N,Y,Y,N,Y,Y,488134.89,4423352.58,MARKET-FRANKFORD LINE,160,2334,812,564,2699913.35594194,239280.22931914,Spring Garden
34,62.00000000,20083.00000000,-75.13650000,39.96870000,Girard - MFL,Front,ST,Girard,,N,N,N,N,Y,Y,Y,Y,Y,488372.59,4424297.83,MARKET-FRANKFORD LINE,170,2833,1275,864,2701004.58293957,242362.91711047,Girard
35,65.00000000,20089.00000000,-75.12770000,39.98860000,Huntingdon,Kensington,AV,Huntingdon,,NE,N,N,N,Y,Y,N,N,Y,489127.11,4426505.39,MARKET-FRANKFORD LINE,200,1371,756,556,2703271.57004909,249686.56932081,Huntingdon
36,66.00000000,20091.00000000,-75.12280000,39.99130000,Somerset,Kensington,AV,Somerset,,NE,N,N,N,Y,Y,Y,Y,Y,489547.67,4426803.25,MARKET-FRANKFORD LINE,210,1791,1230,883,2704588.65639199,250686.11905356,Somerset
